"NOMBRE DE LA SERIE",DF_MESNAA20F1U62240Z01E,DF_MESNAA20I1U62240Z01E,DF_MESNAA20J1U62240Z01E,DF_MESNAA20F1U62251Z01E,DF_MESNAA20I1U62251Z01E,DF_MESNAA20J1U62251Z01E,DF_MESNAA22A1U62250Z01E,DF_MESNAA21A1U62250Z01E,DF_MESNAA23A1U62250Z01E,DF_MESNAA23A1U62253Z01E,DF_MESNAA20A1U62252Z01E
"JUL 2021",73798,132326,261428,30792,42862,610316,508747,92158,83065,41574,5511
"AGO 2021",70920,130075,259157,30632,42560,608798,507600,91671,82719,40948,5498
"SEP 2021",73721,129571,259415,30440,42600,608998,507711,91572,82754,41028,5423
"OCT 2021",74992,129719,258386,30745,42367,610000,508501,92331,82280,40855,5439
"NOV 2021",73726,133499,257884,39952,42392,609862,510199,94244,87764,40790,5328
"DIC 2021",79711,134570,258618,32184,42137,609676,510176,93376,80445,41017,5272
"ENE 2022",76651,131924,257674,31361,39541,611731,510148,89842,82643,40455,5268
"FEB 2022",77525,133061,256265,30714,39299,612265,510506,89398,82374,40189,5219
"MAR 2022",79297,129962,256978,31243,39080,613420,511542,90008,82193,40091,5179
"ABR 2022",83087,131513,255758,31717,39187,615020,512837,90913,82175,39954,5220
"MAY 2022",81250,132593,255550,32187,39219,615523,513197,90865,82867,39863,5221
"JUN 2022",85013,132703,254318,42050,39079,615090,513222,92770,90228,39750,5153
"JUL 2022",86482,135900,254632,32772,39129,616479,514489,92896,80995,39794,5106
"AGO 2022",85374,136540,252800,32697,38776,614976,513361,92622,80465,39355,5136
"SEP 2022",85690,135715,250852,33090,38161,614904,512794,92889,80471,40331,5156
"OCT 2022",87813,135813,249073,33226,38128,614454,511870,93334,80604,40439,5080
"NOV 2022",87638,135386,248558,42662,37971,613910,511379,93887,89278,40063,5040
"DIC 2022",89511,134055,246199,34415,37550,611024,508935,94393,79661,40287,4955
